id,title,price,promo_price,url
3596747,Конструктор LEGO DUPLO Town Мусоровоз и контейнеры для раздельного сбора мусора 10945,1789,,https://www.detmir.ru/product/index/id/3596747/
3018899,Конструктор LEGO Синяя базовая пластина Classic (10714),709,491,https://www.detmir.ru/product/index/id/3018899/
3181586,Конструктор LEGO Star Wars Спасение Люка на планете Хот 75203,3589,,https://www.detmir.ru/product/index/id/3181586/
3226561,Конструктор LEGO DUPLO Princess Чаепитие у Эльзы и Олафа 10920,2029,,https://www.detmir.ru/product/index/id/3226561/
3405620,Конструктор LEGO Ninjago Мотоцикл Ллойда для джунглей 71745,2029,,https://www.detmir.ru/product/index/id/3405620/
3244543,Конструктор LEGO Minions Миньоны в лаборатории Грю 75546,2149,,https://www.detmir.ru/product/index/id/3244543/
3405616,Конструктор LEGO Super Mario набор усилений Марио-пингвин 71384,1069,739,https://www.detmir.ru/product/index/id/3405616/
3188096,Конструктор LEGO DUPLO Princess Ледяной замок 10899,5389,4849,https://www.detmir.ru/product/index/id/3188096/
3226648,Конструктор LEGO City Police Полицейский отряд с собакой 60241,889,799,https://www.detmir.ru/product/index/id/3226648/
3156351,Конструктор LEGO 4+ Парк аттракционов Базза и Вуди 10770,4789,3879,https://www.detmir.ru/product/index/id/3156351/
3405595,Конструктор LEGO Minifigures Минифигурки Серия 21 71029,289,,https://www.detmir.ru/product/index/id/3405595/
3405576,Конструктор LEGO Dots Браслет Музыка 41933,589,,https://www.detmir.ru/product/index/id/3405576/
3596890,Конструктор LEGO City Wildlife Спасательный вездеход для зверей 60300,889,799,https://www.detmir.ru/product/index/id/3596890/
3156347,Конструктор LEGO 4+ Трюковое шоу Дюка Бубумса 10767,1789,1449,https://www.detmir.ru/product/index/id/3156347/
3226725,Конструктор LEGO Star Wars Истребитель Сид ситхов 75272,7569,,https://www.detmir.ru/product/index/id/3226725/
3889880,Конструктор LEGO Super Heroes Человек-паук против атаки дронов Мистерио 76184,2149,,https://www.detmir.ru/product/index/id/3889880/
3596976,Конструктор LEGO Ninjago Спидер-амфибия ниндзя 71752,4309,,https://www.detmir.ru/product/index/id/3596976/
3226681,Конструктор LEGO City Great Vehicles Транспортировщик скоростных катеров 60254,2989,2499,https://www.detmir.ru/product/index/id/3226681/
3596843,Конструктор LEGO Dots Брелок для сумки Единорог 41940,649,,https://www.detmir.ru/product/index/id/3596843/
3405545,Конструктор LEGO Disney Princess Саламандра Бруни 43186,1309,,https://www.detmir.ru/product/index/id/3405545/
3244551,Конструктор LEGO Super Heroes Геликарриер 76153,13789,,https://www.detmir.ru/product/index/id/3244551/
3405629,Конструктор LEGO Ninjago Легендарные битвы: Зейн против Ниндроида 71731,949,,https://www.detmir.ru/product/index/id/3405629/
3244582,Конструктор LEGO Super Mario Марио-кот 71372,1069,,https://www.detmir.ru/product/index/id/3244582/
3599724,Конструктор LEGO VIDIYO Punk Pirate Ship (Корабль Пирата Панка) 43114,7189,5419,https://www.detmir.ru/product/index/id/3599724/
3405558,Конструктор LEGO Friends Кьюб Мии с мопсом 41664,889,589,https://www.detmir.ru/product/index/id/3405558/
3498473,Конструктор LEGO Disney Princess Лодка Буна 43185,5509,,https://www.detmir.ru/product/index/id/3498473/
3597026,Конструктор LEGO Super Heroes Битва Капитана Америка с Гидрой 76189,1069,,https://www.detmir.ru/product/index/id/3597026/
3498481,Конструктор LEGO Vidiyo Битбокс Хип-Хоп Робота 43107,1789,1459,https://www.detmir.ru/product/index/id/3498481/
3599723,Конструктор LEGO VIDIYO K-Pawp Concert (Концерт в стиле К-поп) 43113,5389,3789,https://www.detmir.ru/product/index/id/3599723/
3596772,Конструктор LEGO Friends Тренировка лошади и прицеп для перевозки 41441,2989,2499,https://www.detmir.ru/product/index/id/3596772/
3405539,Конструктор LEGO Creator Супербайк 31114,2149,1799,https://www.detmir.ru/product/index/id/3405539/
3405612,Конструктор LEGO Super Mario Твои уровни! Твои приключения! 71380,6589,,https://www.detmir.ru/product/index/id/3405612/
3226558,Конструктор LEGO DUPLO Грузовик Алфавит 10915,2989,,https://www.detmir.ru/product/index/id/3226558/
3244511,Конструктор LEGO Friends Пляжный домик 41428,5389,,https://www.detmir.ru/product/index/id/3244511/
3244549,Конструктор LEGO Super Heroes Халкбастер против агента А.И.М. 76164,4429,,https://www.detmir.ru/product/index/id/3244549/
619011,Конструктор LEGO Classic Набор для творчества среднего размера (10696),2989,,https://www.detmir.ru/product/index/id/619011/
3144089,Конструктор LEGO Classic Базовый набор кубиков 11002,1909,,https://www.detmir.ru/product/index/id/3144089/
3405631,Конструктор LEGO Ninjago Легендарные битвы: Коул против Призрачного воина 71733,949,,https://www.detmir.ru/product/index/id/3405631/
3405617,Конструктор LEGO Super Mario набор усилений Марио Тануки 71385,1069,709,https://www.detmir.ru/product/index/id/3405617/
3244584,Конструктор LEGO Ninjago Бой на штормовом истребителе 71703,3109,,https://www.detmir.ru/product/index/id/3244584/
3200859,Конструктор LEGO Disney Frozen Дорожные приключения Эльзы 41166,3109,,https://www.detmir.ru/product/index/id/3200859/
3498479,Конструктор LEGO Vidiyo Битбокс Любителя вечеринок Л.Л.А.М.А 43105,1789,1349,https://www.detmir.ru/product/index/id/3498479/
3108625,Конструктор LEGO City Trains Железнодорожные стрелки 60238,2149,,https://www.detmir.ru/product/index/id/3108625/
3334779,Конструктор LEGO Disney Princess Башня Рапунцель 43187,6589,5799,https://www.detmir.ru/product/index/id/3334779/
3596975,Конструктор LEGO Ninjago Водный робот Ллойда 71750,2029,,https://www.detmir.ru/product/index/id/3596975/
3226594,Конструктор LEGO Creator Городской магазин игрушек 31105,4429,,https://www.detmir.ru/product/index/id/3226594/
3596970,Конструктор LEGO Super Mario Марио-лягушка 71392,1069,899,https://www.detmir.ru/product/index/id/3596970/
3596818,Конструктор LEGO Dots Большой набор тайлов 41935,2149,1799,https://www.detmir.ru/product/index/id/3596818/
3405640,Конструктор LEGO Star Wars Микрофайтеры Сокол тысячелетия 75295,1069,,https://www.detmir.ru/product/index/id/3405640/
3890016,Конструктор LEGO Super Heroes Маска Бэтмена из классического сериала 76238,7189,,https://www.detmir.ru/product/index/id/3890016/
3405541,Конструктор LEGO Creator Домик на дереве для сафари 31116,3229,,https://www.detmir.ru/product/index/id/3405541/
